,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,2.990457,3.030258,3.099480,2.962104,2.929200,2.951460,2.915959,2.925133,2.934392,2.978705,2.950042,2.933427,2.936232,2.937732,2.942263,2.938739,2.933363,3.009632,2.952807,2.976819
1,dynamic,2,1024,768,2.949817,2.939233,2.938630,2.935899,3.075024,2.943044,2.921086,2.946572,2.989064,2.944108,2.957506,2.938725,2.975807,2.957669,2.935155,2.958857,2.945596,2.949227,2.967677,3.061948
2,dynamic,4,1024,768,3.000504,2.968004,2.964722,2.939917,2.919665,2.947098,2.965810,2.950117,2.956717,2.927721,2.938536,2.965887,2.955772,2.917368,2.954855,2.978665,2.920944,2.952744,2.932281,2.959639
3,dynamic,8,1024,768,2.928581,2.965759,2.943738,2.999806,2.942328,2.907131,2.947444,2.924333,2.918701,2.939132,2.956689,2.996025,2.966622,2.932768,2.935443,2.937187,2.925102,2.953396,2.933064,2.973688
4,dynamic,16,1024,768,2.912939,2.994915,3.052238,2.992492,3.039072,3.023953,3.021985,2.968109,3.028947,3.012480,3.021889,3.072151,3.027319,3.012183,3.039982,3.011948,3.008648,3.004417,3.009560,3.064080
5,dynamic,32,1024,768,2.992611,2.980675,2.977563,3.038371,3.044815,2.982614,2.983727,2.989085,2.935808,2.993723,2.961317,2.944201,2.960572,2.958466,2.952407,2.933422,2.975578,3.028065,3.006051,3.020962
6,dynamic,64,1024,768,3.020421,2.944022,3.015764,2.969396,2.995821,2.983034,2.983640,3.026560,2.950340,3.036385,2.978453,2.981139,3.060927,2.984416,3.002699,2.997258,3.009954,2.984681,2.971719,2.995015
7,dynamic,128,1024,768,3.039905,2.996671,2.999209,3.017729,2.968909,2.970884,2.974616,3.022873,2.978150,3.016696,3.001882,2.972612,2.958049,3.003747,3.000522,2.978642,2.938171,2.970307,2.934675,2.944489
8,dynamic,256,1024,768,2.955970,2.941259,2.948848,3.006734,2.969713,2.971104,2.988398,3.003523,2.962929,2.989772,3.030514,2.982790,3.162716,2.969940,2.974007,3.010629,2.967804,2.973698,2.993371,3.001619
