,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,2.959498,2.926678,2.928307,2.928022,3.055707,3.065620,3.129327,3.140085,3.226236,3.172258,3.196824,3.304853,3.198545,3.099398,3.067133,3.035370,3.005675,2.947528,2.975345,3.018878
1,static,2,1024,768,3.000655,3.006240,2.977404,2.993824,2.980630,2.960758,2.987751,3.005122,2.948710,2.982455,2.995309,2.985977,2.949286,2.942188,3.016726,2.973924,3.020347,2.979058,2.976115,2.998180
2,static,4,1024,768,2.959796,2.939341,2.972444,2.937104,2.961618,2.905569,2.987004,2.959415,2.960498,2.953232,3.001058,2.926919,2.945895,2.975417,2.945529,2.926337,2.955828,2.942466,2.986774,2.955956
3,static,8,1024,768,2.947612,2.925664,2.924443,2.961106,2.967677,3.158941,3.021931,2.993825,3.127686,3.019735,3.009177,2.986526,3.028861,3.055458,2.931161,2.950421,3.074914,2.977644,3.010484,3.021728
4,static,16,1024,768,3.111655,3.070031,3.099132,3.099833,3.104132,3.040720,3.115763,3.197785,3.098356,3.147309,3.076797,3.098444,3.064604,3.077911,3.093052,3.112260,3.047975,3.105171,3.057399,3.061028
5,static,32,1024,768,3.194538,3.149196,3.279556,3.366996,3.626456,3.276142,3.391427,3.212166,3.279971,3.237635,3.276497,3.275499,3.237317,3.204018,3.244879,3.211186,3.388039,3.381620,3.420197,3.458153
6,static,64,1024,768,3.981474,3.961826,3.892469,3.979211,3.947632,3.847822,3.913166,3.930243,3.903192,3.935838,3.845504,3.809355,4.234752,3.917062,3.938651,3.848681,3.894870,3.858301,3.860677,3.843457
7,static,128,1024,768,5.304623,5.174085,5.184370,5.119461,5.097193,5.377595,5.320672,5.144893,5.062490,5.174622,5.067497,5.171980,5.097991,5.152361,5.076704,5.068078,5.131991,5.123494,5.260028,5.191489
8,static,256,1024,768,8.373992,8.094601,8.151354,8.056570,8.365791,8.316748,7.981180,8.136240,8.033749,8.038996,8.182719,8.162518,8.264938,8.540092,8.142309,8.307726,8.241999,8.370925,8.320553,8.438097
