,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,1.314269,1.313195,1.317506,1.310169,1.313246,1.346146,1.378477,1.339627,1.348948,1.373648,1.367411,1.379357,1.386177,1.368528,1.362761,1.364223,1.378316,1.370707,1.370256,1.383776
1,static,2,1024,768,1.372176,1.375866,1.406022,1.364887,1.369366,1.390239,1.379933,1.377637,1.397387,1.376099,1.378541,1.375346,1.395641,1.384772,1.372592,1.391970,1.378496,1.447242,1.418027,1.393813
2,static,4,1024,768,1.388046,1.379359,1.390242,1.374387,1.372691,1.367844,1.405239,1.388504,1.388566,1.392137,1.373265,1.378893,1.382325,1.397886,1.423977,1.560878,1.586532,1.403545,1.396236,1.395757
3,static,8,1024,768,1.426182,1.391397,1.405430,1.424126,1.405801,1.398986,1.412754,1.413096,1.398945,1.402448,1.450340,1.401909,1.423379,1.425810,1.398984,1.389961,1.392047,1.418808,1.406345,1.407727
4,static,16,1024,768,1.416827,1.402271,1.398782,1.400871,1.404956,1.395456,1.432028,1.419770,1.433583,1.399563,1.405212,1.405199,1.400716,1.393072,1.436838,1.411106,1.410803,1.433549,1.435175,1.418620
5,static,32,1024,768,1.435483,1.438131,1.455211,1.425999,1.433376,1.516330,1.427453,1.425039,1.439628,1.418079,1.421930,1.440924,1.414508,1.422225,1.436500,1.419573,1.415342,1.451472,1.443420,1.425192
6,static,64,1024,768,1.474561,1.477297,1.445390,1.446125,1.458562,1.456668,1.450231,1.453480,1.539860,1.448383,1.455577,1.475294,1.447181,1.497573,1.459384,1.455168,1.452746,1.465414,1.537053,1.482896
7,static,128,1024,768,1.487391,1.487557,1.456081,1.457265,1.484867,1.458688,1.471316,1.465796,1.510031,1.460768,1.463027,1.462086,1.520869,1.447347,1.467519,1.478687,1.458420,1.466729,1.473711,1.466042
8,static,256,1024,768,1.865654,1.843410,1.897855,1.843396,1.867714,1.845760,1.857670,1.862264,1.848622,1.871287,1.840581,1.831161,1.863201,1.836650,1.850016,1.907886,1.884041,1.861030,1.872586,1.962438
