,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,1.375813,1.314703,1.468430,1.316329,1.289808,1.308529,1.446196,1.374746,1.473256,1.336000,1.325874,1.315940,1.317133,1.322391,1.390904,1.389699,1.377694,1.308831,1.394867,1.307643
1,dynamic,2,1024,768,1.288016,1.314759,1.294063,1.296933,1.291214,1.321975,1.295669,1.285246,1.287396,1.320059,1.287136,1.292620,1.301434,1.304196,1.309715,1.366007,1.321386,1.294366,1.290405,1.288321
2,dynamic,4,1024,768,1.318937,1.283650,1.279598,1.285406,1.335189,1.291698,1.281137,1.303892,1.293329,1.283168,1.279357,1.318274,1.336697,1.276765,1.280646,1.326869,1.297297,1.289062,1.285248,1.360203
3,dynamic,8,1024,768,1.307947,1.348218,1.337700,1.281836,1.279227,1.272620,1.308897,1.279729,1.271048,1.324993,1.305845,1.274641,1.298006,1.264672,1.299365,1.270555,1.271579,1.462293,1.298240,1.285817
4,dynamic,16,1024,768,1.282933,1.317377,1.273905,1.266474,1.272544,1.362161,1.320805,1.277345,1.315496,1.293598,1.282472,1.273964,1.305640,1.269166,1.263648,1.274298,1.294579,1.272336,1.260984,1.277447
5,dynamic,32,1024,768,1.314954,1.269622,1.268613,1.268501,1.385629,1.269034,1.303188,1.373819,1.304796,1.280164,1.273797,1.307923,1.270624,1.273185,1.269483,1.311960,1.269163,1.258287,1.264445,1.294070
6,dynamic,64,1024,768,1.279169,1.333620,1.295472,1.281867,1.275926,1.274552,1.252489,1.264422,1.260973,1.265983,1.294879,1.282357,1.282613,1.811904,1.307415,1.271727,1.266030,1.270694,1.337989,1.265309
7,dynamic,128,1024,768,1.258321,1.290365,1.274009,1.269634,1.323140,1.362576,1.307804,1.273026,1.302357,1.344303,1.279073,1.262282,1.457567,1.329644,1.304970,1.318569,1.295458,1.262435,1.274376,1.269182
8,dynamic,256,1024,768,1.299235,1.271140,1.263081,1.258819,1.300996,1.275860,1.284861,1.277152,1.304844,1.267893,1.261369,1.290287,1.322293,1.268215,1.263794,1.312690,1.296067,1.269515,1.276372,1.315764
