,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,1.527283,1.530239,1.525453,1.534149,1.591851,1.570914,1.564041,1.616476,1.604258,1.612464,1.627272,1.624065,1.615610,1.617293,1.641176,1.695715,1.677250,1.666856,1.683287,1.655204
1,static,2,1024,768,1.648867,1.753343,1.713680,1.749486,1.746233,1.693181,1.707774,1.668529,1.667080,1.688740,1.701067,1.848145,1.788091,1.767393,1.737166,1.743103,1.677994,1.723453,1.756973,1.667649
2,static,4,1024,768,1.729456,1.727181,1.714803,1.692645,1.703923,1.690183,1.706150,1.745647,1.692888,1.771875,1.691116,1.727006,1.700037,1.698594,1.736025,1.728620,1.681963,1.671930,1.695034,1.672594
3,static,8,1024,768,1.716460,1.773972,1.727758,1.726824,1.733766,1.710545,1.741186,1.743164,1.759186,1.813879,1.729378,1.726247,1.743022,1.748287,1.746235,1.770207,1.741154,1.727414,1.833438,1.751119
4,static,16,1024,768,1.912353,1.903606,1.954033,1.908636,1.877437,1.876757,1.934096,1.847537,1.864911,1.881569,1.844119,1.850094,1.837514,1.877399,1.855172,1.837064,1.948485,1.846601,1.887972,1.859582
5,static,32,1024,768,2.118949,2.163465,2.132759,2.144167,2.156187,2.139890,2.137682,2.121346,2.141964,2.169132,2.126689,2.116647,2.121300,2.128349,2.118600,2.114191,2.158589,2.096842,2.133806,2.113769
6,static,64,1024,768,3.113088,3.008666,3.039288,3.018482,3.025882,3.016610,3.016554,3.082979,3.008181,2.996943,3.002004,3.047611,3.012971,3.035865,2.981820,3.031432,3.039920,3.016119,3.050104,3.031321
7,static,128,1024,768,5.150688,5.183727,5.155297,5.150369,5.103604,5.113917,5.344993,5.176043,5.219321,5.130075,5.181553,5.153335,5.150381,5.132108,5.152826,5.136589,5.159231,5.156397,5.238140,5.182334
8,static,256,1024,768,4.170519,4.173995,4.160582,4.171721,4.226815,4.137655,4.124341,4.160954,4.129559,4.172415,4.232801,4.166816,4.163551,4.211244,4.124287,4.195455,4.174248,4.137431,4.113779,4.145929
