,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,1.771147,1.728051,1.718697,1.707989,1.690642,1.690812,1.728983,1.709741,1.707052,1.700355,1.702622,1.710158,1.691774,1.698124,1.727301,1.702817,1.706640,1.708014,1.796489,1.831755
1,dynamic,2,1024,768,1.747099,1.730437,1.734877,1.725632,1.752067,1.743281,1.737620,1.730670,1.739303,1.733285,1.708123,1.739752,1.750085,1.720850,1.709428,1.711037,1.726115,1.707171,1.715113,1.723321
2,dynamic,4,1024,768,1.703104,1.704162,1.710733,1.694774,1.706192,1.744516,1.704329,1.699365,1.712129,1.702353,1.707292,1.702980,1.702085,1.710183,1.691082,1.694756,1.778355,1.698526,1.697731,1.776003
3,dynamic,8,1024,768,1.712296,1.727408,1.723249,1.688161,1.692053,1.707858,1.694774,1.692407,1.703830,1.693488,1.701058,1.697772,1.733511,1.713217,1.698360,1.688882,1.705079,1.682237,1.700050,1.701535
4,dynamic,16,1024,768,1.691898,1.699333,1.699295,1.694113,1.695185,1.735119,1.687447,1.683034,1.703576,1.695780,1.692468,1.709542,1.686928,1.725200,1.703949,1.687211,1.719358,1.710944,1.738518,1.714926
5,dynamic,32,1024,768,1.689178,1.688411,1.710042,1.700317,1.690846,1.716711,1.698125,1.704945,1.717935,1.700061,1.689194,1.741836,1.694953,1.690758,1.768520,1.703665,1.701442,1.712144,1.694600,1.682226
6,dynamic,64,1024,768,1.695368,1.689797,1.681246,1.696100,1.687921,1.727228,1.703802,1.706008,1.678557,1.705846,1.681625,1.685209,1.732689,1.753737,1.697956,1.704450,1.686566,1.713008,1.720950,1.691287
7,dynamic,128,1024,768,1.701981,1.704161,1.691701,1.704399,1.696426,1.687451,1.707880,1.694594,1.680557,1.702532,1.695413,1.730608,1.705682,1.685828,1.698275,1.727368,1.700424,1.700278,1.701116,1.688063
8,dynamic,256,1024,768,1.693864,1.690032,1.683967,1.713870,1.715628,1.702846,1.719528,1.763162,1.688322,1.742409,1.692194,1.704124,1.708988,1.699608,1.711202,1.718370,1.690782,1.728684,1.711512,1.693799
