,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,2.139484,2.103956,2.095203,2.137340,2.105280,2.165987,2.181850,2.181989,2.138152,2.151098,2.113950,2.133295,2.131168,2.142284,2.200226,2.138280,2.114064,2.148507,2.136315,2.124637
1,dynamic,2,1024,768,2.129542,2.114266,2.115217,2.120570,2.154963,2.114435,2.105690,2.138431,2.144767,2.153881,2.117981,2.118889,2.121150,2.122452,2.111755,2.139891,2.119657,2.098581,2.112875,2.123883
2,dynamic,4,1024,768,2.104405,2.115687,2.273812,2.188293,2.115447,2.127626,2.141251,2.127890,2.104534,2.095626,2.117664,2.098229,2.114079,2.112648,2.107294,2.112945,2.122625,2.143938,2.112992,2.119691
3,dynamic,8,1024,768,2.100137,2.125019,2.118877,2.099006,2.136137,2.113779,2.124262,2.142796,2.114613,2.089592,2.101395,2.128021,2.109593,2.119185,2.103357,2.113426,2.096996,2.105615,2.171514,2.094280
4,dynamic,16,1024,768,2.105908,2.113326,2.093296,2.109173,2.107602,2.115058,2.118069,2.121088,2.107147,2.265681,2.100172,2.123285,2.112133,2.108312,2.119780,2.111170,2.116332,2.100784,2.099416,2.149486
5,dynamic,32,1024,768,2.096562,2.095311,2.116213,2.098680,2.123508,2.098630,2.096963,2.118148,2.092612,2.117070,2.126451,2.127597,2.100322,2.115843,2.115919,2.130848,2.110907,2.129646,2.136551,2.111362
6,dynamic,64,1024,768,2.127786,2.133641,2.085776,2.119204,2.355475,2.180338,2.098658,2.105331,2.105229,2.091576,2.109503,2.183382,2.125024,2.103525,2.118914,2.106856,2.159126,2.125699,2.088309,2.100725
7,dynamic,128,1024,768,2.092269,2.127268,2.128210,2.121932,2.138522,2.091437,2.116216,2.106786,2.119793,2.104996,2.097210,2.129726,2.098233,2.147528,2.108882,2.119543,2.085058,2.102681,2.113535,2.082465
8,dynamic,256,1024,768,2.118544,2.101605,2.098065,2.102086,2.150129,2.089493,2.098873,2.107861,2.096517,2.104675,2.087974,2.090234,2.142199,2.131092,2.176061,2.112422,2.122173,2.107057,2.131312,2.110746
