,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,1.264874,1.236744,1.206112,1.210103,1.216903,1.221058,1.288521,1.305366,1.330008,1.585170,1.385932,1.359960,1.604519,1.499833,1.558981,1.554829,1.590678,1.427393,1.371303,1.474141
1,static,2,1024,768,1.286238,1.299749,1.295906,1.443293,1.344137,1.255667,1.268643,1.307568,1.312299,1.275719,1.255104,1.565764,1.351825,1.266350,1.381604,1.263364,1.303968,1.382091,1.507395,1.764125
2,static,4,1024,768,1.622281,1.440733,1.445519,1.416711,1.473807,1.715163,1.769066,1.617427,1.666759,1.519637,1.516776,1.390254,1.279637,1.242675,1.361530,1.235854,1.354355,1.357758,1.285504,1.257771
3,static,8,1024,768,1.315719,1.379661,1.377877,1.344844,1.423424,1.615280,1.389643,1.267019,1.337446,1.258591,1.466748,1.275175,1.333650,1.281484,1.400663,1.554248,1.534968,1.664520,1.734383,1.503683
4,static,16,1024,768,1.511756,1.589067,1.503892,1.306438,1.583392,1.513405,1.321901,1.835156,1.551237,1.468526,1.543126,1.580552,1.423362,1.507571,1.649944,1.353344,1.500696,1.488483,1.525502,1.597188
5,static,32,1024,768,1.524416,1.587904,1.409307,1.386063,1.391637,1.474902,1.391849,1.465095,1.569494,1.508338,1.445256,1.474100,1.614927,1.390694,1.431605,1.525624,1.387399,1.453047,1.401335,1.422402
6,static,64,1024,768,1.705416,1.560337,1.511027,1.529048,1.589300,1.608506,1.573330,1.691716,1.622194,1.538235,1.581369,1.546640,1.559170,1.573342,1.712378,1.782030,1.649177,1.573237,1.597173,1.615420
7,static,128,1024,768,2.043909,2.136192,2.131244,2.007441,2.083815,2.058427,2.063603,2.108464,2.026933,2.058797,2.035429,2.220860,2.424909,2.080822,2.092456,2.187708,2.160877,2.174935,2.068882,2.059238
8,static,256,1024,768,3.063899,3.076215,3.116315,3.073679,3.151118,3.225758,3.161992,3.031454,3.044095,3.111638,3.030486,2.990680,2.975497,3.128341,3.086607,3.013749,3.025117,2.961330,2.937306,2.968748
