,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,5.566745,5.593330,5.733077,5.710746,5.729088,5.568293,5.567771,5.568327,5.610409,5.572454,5.525701,5.558853,5.613497,5.578620,5.551749,5.552544,5.603176,5.543246,5.623639,5.562599
1,static,2,1024,768,5.590145,5.574657,5.611625,5.572087,5.638726,5.530049,5.550478,5.540657,5.560418,5.524675,5.538957,5.529111,5.577493,5.555524,5.569218,5.529903,5.563587,5.641650,5.507668,5.538958
2,static,4,1024,768,5.527465,5.598776,5.541592,5.550020,5.564437,5.558146,5.544637,5.697689,5.886448,5.951641,6.072499,6.028601,6.104967,6.062076,6.094623,6.021207,5.910319,6.166753,5.850245,5.910772
3,static,8,1024,768,5.920707,6.028533,5.865084,5.607432,5.599927,5.557641,5.524499,5.529287,5.552329,5.573343,5.531658,5.528784,5.562231,5.659444,5.569246,5.546504,5.558778,5.603947,5.529813,5.547361
4,static,16,1024,768,5.584665,5.562720,5.558578,5.580688,5.552603,5.581665,5.548749,5.526172,5.563514,5.551047,5.566316,5.535017,5.571932,5.528536,5.599307,5.561840,5.554217,5.519426,5.588574,5.541748
5,static,32,1024,768,5.686366,5.683433,5.722731,5.634834,5.640253,5.689266,5.724756,5.686864,5.672096,5.677722,5.681849,5.700064,5.689484,5.623668,5.784733,5.664798,5.676816,5.853543,5.700144,5.673286
6,static,64,1024,768,5.814821,5.802956,5.919663,5.809460,5.836474,5.882990,6.029617,5.876582,5.934295,5.831018,6.033130,5.854374,5.902219,5.843258,5.837864,5.834618,5.813834,5.848691,5.979090,5.827067
7,static,128,1024,768,5.931737,5.909350,5.966511,5.924715,5.884330,5.906146,6.009236,5.882410,5.940197,5.923292,5.999725,5.914243,5.933193,5.888109,5.915797,5.883059,5.904330,5.908244,5.923392,5.885957
8,static,256,1024,768,7.946225,7.997952,7.994414,7.955517,7.973393,8.014330,7.923900,7.987014,7.954576,7.993932,7.994142,7.964533,7.997611,8.023257,8.235428,8.068867,7.965121,7.955795,8.072753,7.949707
