,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,1.533400,1.476879,1.446502,1.452483,1.469960,1.453028,1.452807,1.469744,1.450657,1.455632,1.453188,1.471233,1.488850,1.447641,1.468302,1.458452,1.449104,1.466992,1.451810,1.464486
1,dynamic,2,1024,768,1.444024,1.486394,1.433785,1.442627,1.464153,1.480252,1.530284,1.594538,1.481283,1.468227,1.460865,1.454504,1.458525,1.459861,1.475590,1.451186,1.455529,1.470674,1.450009,1.452790
2,dynamic,4,1024,768,1.457877,1.445479,1.447607,1.480755,1.445138,1.443444,1.443125,1.443474,1.462859,1.445177,1.443662,1.444406,1.443508,1.490761,1.438216,1.461926,1.443689,1.441653,1.499456,1.481541
3,dynamic,8,1024,768,1.430022,1.450750,1.447271,1.453995,1.440735,1.458578,1.434767,1.430992,1.475830,1.448096,1.460426,1.461695,1.446451,1.461433,1.453852,1.454889,1.448924,1.435506,1.468668,1.438883
4,dynamic,16,1024,768,1.436054,1.449531,1.440651,1.437518,1.436516,1.453618,1.439322,1.429685,1.450715,1.468995,1.433524,1.439045,1.446216,1.452846,1.439414,1.454662,1.440484,1.434577,1.455278,1.438893
5,dynamic,32,1024,768,1.433797,1.434075,1.449224,1.460320,1.476671,1.447894,1.433773,1.445663,1.452985,1.438652,1.440653,1.467401,1.479188,1.437207,1.450525,1.458142,1.445409,1.434744,1.447249,1.429003
6,dynamic,64,1024,768,1.559558,1.435372,1.457498,1.433022,1.435164,1.447227,1.435443,1.433133,1.448069,1.430944,1.430108,1.428043,1.454076,1.441341,1.449753,1.486754,1.444035,1.436384,1.439702,1.445004
7,dynamic,128,1024,768,1.434429,1.436406,1.522338,1.446658,1.434237,1.451717,1.441559,1.440394,1.435065,1.442411,1.432694,1.466591,1.492090,1.467791,1.451109,1.454401,1.437854,1.442088,1.436736,1.441388
8,dynamic,256,1024,768,1.433043,1.444582,1.453572,1.441479,1.436841,1.454201,1.477449,1.443012,1.436912,1.429938,1.433571,1.438962,1.441157,1.449373,1.439145,1.438749,1.450660,1.434502,1.434923,1.429243
