,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,2.124306,2.127228,2.135667,2.172676,2.150383,2.152072,2.137835,2.153230,2.177987,2.269737,2.154622,2.157413,2.172457,2.147699,2.160950,2.137409,2.131458,2.146362,2.212905,2.226065
1,dynamic,2,1024,768,2.178478,2.296263,2.137516,2.207596,2.205256,2.238062,2.152997,2.147158,2.167067,2.191979,2.186849,2.180113,2.145492,2.143150,2.131538,2.188716,2.164730,2.176977,2.165531,2.217170
2,dynamic,4,1024,768,2.154337,2.132000,2.150187,2.164653,2.149802,2.124382,2.172295,2.188082,2.184293,2.452160,2.274109,2.143556,2.146263,2.151591,2.116265,2.207211,2.159264,2.160188,2.153223,2.155340
3,dynamic,8,1024,768,2.167387,2.139546,2.201068,2.117797,2.131698,2.129496,2.125950,2.119442,2.120073,2.137128,2.115145,2.165599,2.118470,2.112320,2.124380,2.105950,2.115905,2.131666,2.138418,2.106427
4,dynamic,16,1024,768,2.123815,2.143958,2.124205,2.128077,2.097879,2.121740,2.132073,2.119724,2.118793,2.119673,2.128854,2.114766,2.154995,2.121208,2.193847,2.150582,2.144862,2.174759,2.152203,2.148182
5,dynamic,32,1024,768,2.188896,2.145660,2.167831,2.123840,2.125824,2.114832,2.128954,2.109306,2.123337,2.091099,2.108482,2.114311,2.103368,2.156708,2.144702,2.147789,2.124040,2.154099,2.141306,2.138615
6,dynamic,64,1024,768,2.157893,2.134035,2.136763,2.128946,2.208740,2.130634,2.150397,2.135847,2.185372,2.214493,2.147628,2.189449,2.095271,2.179538,2.149224,2.116630,2.142000,2.123108,2.135828,2.096549
7,dynamic,128,1024,768,2.116071,2.110088,2.171327,2.180605,2.277282,2.251654,2.188188,2.181479,2.243939,2.193484,2.228162,2.184448,2.252090,2.165778,2.157307,2.208309,2.171035,2.254355,2.212948,2.140278
8,dynamic,256,1024,768,2.192635,2.428438,2.191722,2.170011,2.177531,2.197121,2.149022,2.239920,2.157239,2.119285,2.157038,2.114436,2.132228,2.118794,2.131727,2.144167,2.167239,2.185742,2.158338,2.154916
