,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,5.761701,5.563368,5.773435,5.791757,5.672128,5.661514,5.804137,5.567548,5.647090,5.619630,5.644049,5.942354,5.978115,5.826272,5.829926,5.721976,5.800113,5.881694,7.336887,6.282902
1,dynamic,2,1024,768,6.013435,5.761998,5.604702,5.826912,5.736646,5.599426,5.594488,5.604925,5.809155,5.599926,5.577852,5.692337,5.696835,5.604486,5.643167,5.615023,5.624085,5.605237,5.574391,5.570037
2,dynamic,4,1024,768,5.622182,5.582998,5.573922,5.575969,5.640983,5.617591,5.621284,5.554418,5.587853,5.599582,5.597667,5.583059,5.572391,5.553298,5.599890,5.583460,5.572589,5.586501,5.535474,5.583587
3,dynamic,8,1024,768,5.598134,5.615292,5.592371,5.557746,5.551612,5.681659,5.577623,5.589073,5.620018,5.684214,5.555640,5.615773,5.551890,5.597337,5.666610,5.619220,5.588403,5.692622,5.550167,5.576212
4,dynamic,16,1024,768,5.555460,5.645884,5.604000,5.530013,5.700718,5.660440,5.755338,5.868293,5.803535,5.871874,5.837061,5.589020,5.597275,5.611283,5.627566,5.553777,5.550985,5.587628,5.611793,5.544755
5,dynamic,32,1024,768,5.580156,5.543230,5.656152,5.591954,5.562765,5.559218,5.665811,5.626516,5.575336,5.607263,5.594337,5.537337,5.538334,5.567509,5.599385,5.586875,5.562613,5.591201,5.579633,5.630907
6,dynamic,64,1024,768,5.586668,5.704244,5.579579,5.574311,5.557186,5.839472,5.733578,5.626764,5.593598,5.554701,5.587653,5.601333,5.538201,5.560184,5.561492,5.616302,5.593186,5.810495,5.844093,5.804339
7,dynamic,128,1024,768,5.629236,5.794910,5.815974,6.072662,5.879441,5.955826,5.749439,5.594080,5.549060,5.591155,5.527879,5.585524,5.576496,5.542847,5.573207,5.600353,5.541921,5.589053,5.545917,5.534262
8,dynamic,256,1024,768,5.589830,5.585666,5.600962,5.570341,5.578700,5.577510,5.536988,5.680323,5.634302,5.588482,5.559634,5.558802,5.585503,5.541059,5.591752,5.556112,5.630026,5.556539,5.577062,5.586106
