,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,5.722260,5.605746,5.598635,5.640255,5.601457,5.614922,5.687032,5.652098,5.595924,5.584813,5.571630,5.666132,5.568644,5.589862,5.605292,5.664851,5.580439,5.671853,5.618030,5.665505
1,static,2,1024,768,5.608166,5.604752,5.577595,5.616767,5.595977,5.565980,5.575084,5.605204,5.662479,5.607021,5.559308,5.624214,5.567589,5.578499,5.540650,5.535790,5.629492,5.561412,5.550771,5.605901
2,static,4,1024,768,5.659519,5.523544,5.578372,5.585816,5.644464,5.542470,5.623949,5.592538,5.588987,5.544769,5.623036,5.622861,5.656513,5.602318,5.567920,5.549437,5.604487,5.665259,5.727468,5.587847
3,static,8,1024,768,5.615302,5.577607,5.600457,5.607358,5.623319,5.576792,5.560273,5.595380,5.605346,5.659966,5.546496,5.784028,5.604924,5.727750,5.588262,5.585980,5.572496,5.620810,5.598562,5.650935
4,static,16,1024,768,5.603177,5.658649,5.577360,5.599592,5.645032,5.586090,5.571970,5.556287,5.576030,5.579676,5.588841,5.575760,5.645069,5.597318,5.523500,5.644608,5.591324,5.622181,5.576967,5.596320
5,static,32,1024,768,5.736973,5.735304,5.696599,5.679423,5.712092,5.738181,5.765383,5.713080,5.649969,5.717141,5.751520,5.711051,5.697201,5.692570,5.741129,5.680321,5.710051,5.787261,5.726089,5.696989
6,static,64,1024,768,5.861857,5.859969,5.887514,5.858354,5.907273,5.891327,5.893792,5.883718,5.898546,5.894891,5.830279,5.886103,5.868092,5.928260,5.836743,5.836598,5.860120,5.903015,5.934788,5.878905
7,static,128,1024,768,5.926475,5.954291,5.903677,5.929650,5.914717,5.965914,5.916304,5.944558,5.934677,6.001751,5.930608,5.923278,5.916553,5.963919,5.938154,5.922708,5.952296,6.159934,5.968193,6.044790
8,static,256,1024,768,8.104847,7.964977,7.985553,8.045926,7.960060,7.979862,8.030979,8.084336,7.961920,8.022761,8.009530,7.982878,8.016588,7.992341,7.996644,8.105113,7.989956,8.064164,8.011352,7.991213
