,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,1.567307,1.527220,1.521601,1.530889,1.580821,1.641398,1.527824,1.604189,1.549093,1.584338,1.486403,1.484171,1.472612,1.472148,1.542084,1.575592,1.532712,1.652721,1.573671,1.476636
1,dynamic,2,1024,768,1.597926,1.490059,1.528326,1.539282,1.579580,1.467397,1.574263,1.557685,1.551029,1.500744,1.577708,1.570009,1.550489,1.535238,1.657512,1.551700,1.570063,1.593100,1.611520,1.486479
2,dynamic,4,1024,768,1.463487,1.492339,1.608874,1.465228,1.517507,1.586381,1.453196,1.450814,1.458916,1.511271,1.449494,1.459117,1.563758,1.490086,1.449238,1.469575,1.470774,1.475038,1.453962,1.461758
3,dynamic,8,1024,768,1.445458,1.440580,1.461163,1.439355,1.485764,1.464387,1.443484,1.458474,1.437523,1.458976,1.468934,1.766376,1.734176,1.490533,1.474664,1.777803,1.800858,1.674661,1.722843,1.481142
4,dynamic,16,1024,768,1.440363,1.488831,1.447414,1.440084,1.459949,1.520628,1.537531,1.566097,1.594800,1.652459,1.582102,1.476950,1.621387,1.682895,1.533869,1.488951,1.540236,1.529583,1.508136,1.644309
5,dynamic,32,1024,768,1.640175,1.584659,1.628338,1.732575,1.456904,1.629001,1.593258,1.567902,1.621485,1.558036,1.607829,1.496824,1.544096,1.520853,1.523872,1.530248,1.583174,1.468210,1.474139,1.524080
6,dynamic,64,1024,768,1.506519,1.455604,1.530496,1.460776,1.439207,1.507487,1.475827,1.741524,1.589126,1.432845,1.562651,1.555088,1.589024,1.516373,1.523909,1.503507,1.619375,1.509357,1.879222,1.633560
7,dynamic,128,1024,768,1.544868,1.799370,1.497684,1.572664,1.573764,1.498274,1.452739,1.478650,1.460177,1.458212,1.479041,1.464375,1.500057,1.447305,1.484483,1.529236,1.458572,1.462201,1.571042,1.594795
8,dynamic,256,1024,768,1.463956,1.431353,1.433527,1.455738,1.432283,1.441921,1.467699,1.456205,1.437625,1.471569,1.461799,1.519340,1.595807,1.549975,1.490381,1.448030,1.467248,1.442660,1.447882,1.443951
