,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,2.112567,2.084458,2.056978,2.236092,2.198409,2.247229,2.130604,2.222548,2.196067,2.159474,2.108686,2.094808,2.149754,2.186548,2.134951,2.139919,2.162268,2.135996,2.157427,2.176723
1,static,2,1024,768,2.120008,2.184427,2.170555,2.253105,2.198685,2.241545,2.224048,2.253445,2.163945,2.139581,2.190211,2.238645,2.179735,2.216845,2.233468,2.158009,2.170968,2.423587,2.300826,2.226562
2,static,4,1024,768,2.169782,2.294646,2.222198,2.272901,2.201196,2.343591,2.275377,2.307778,2.145345,2.143345,2.172524,2.126659,2.156839,2.165653,2.115174,2.197091,2.178290,2.212874,2.154780,2.196893
3,static,8,1024,768,2.139386,2.201444,2.199978,2.197749,2.132346,2.115288,2.141155,2.127211,2.192140,2.095113,2.141791,2.278902,2.233593,2.212397,2.184295,2.203128,2.232714,2.192008,2.216409,2.173541
4,static,16,1024,768,2.154245,2.109943,2.116860,2.110126,2.129900,2.105453,2.154897,2.134464,2.125686,2.160386,2.109206,2.139407,2.112551,2.204814,2.133697,2.155103,2.122341,2.119534,2.129754,2.175684
5,static,32,1024,768,2.153221,2.155111,2.227514,2.242973,2.249077,2.258168,2.258551,2.197950,2.229254,2.294220,2.305312,2.257991,2.219970,2.218341,2.248778,2.244132,2.245195,2.175457,2.188394,2.185234
6,static,64,1024,768,2.334698,2.317500,2.258355,2.253651,2.249438,2.214231,2.212505,2.228334,2.233493,2.243124,2.284941,2.240069,2.181607,2.263465,2.198131,2.214485,2.201351,2.222279,2.226749,2.235339
7,static,128,1024,768,2.337626,2.264583,2.324468,2.238407,2.283749,2.379753,2.351135,2.258423,2.240750,2.238894,2.282299,2.238078,2.229510,2.230830,2.283517,2.302357,2.256095,2.231432,2.225466,2.229081
8,static,256,1024,768,2.913440,2.895716,2.864913,2.865992,2.909248,2.907181,2.882732,2.895607,2.932182,2.874746,2.872614,2.867472,2.959932,2.933046,2.894891,2.960958,3.302186,3.358202,3.197244,3.068133
