,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,1.410634,1.211584,1.196446,1.240671,1.251274,1.233389,1.225883,1.286477,1.231044,1.237868,1.278314,1.256845,1.226417,1.236187,1.242839,1.284627,1.227492,1.240032,1.372754,1.632247
1,static,2,1024,768,1.385495,1.497022,1.312191,1.264955,1.249641,1.240782,1.299136,1.325543,1.240263,1.236014,1.335801,1.237300,1.227870,1.241217,1.280117,1.270213,1.261096,1.263418,1.302365,1.243680
2,static,4,1024,768,1.250809,1.287098,1.359182,1.284312,1.241035,1.324486,1.261570,1.242398,1.242507,1.300319,1.237027,1.234147,1.236140,1.330141,1.232436,1.230907,1.249183,1.503073,1.255248,1.245502
3,static,8,1024,768,1.244102,1.346356,1.285246,1.263870,1.287417,1.258571,1.244850,1.246183,1.357232,1.260656,1.233074,1.241674,1.334374,1.238598,1.233863,1.242178,1.288876,1.246986,1.244716,1.241145
4,static,16,1024,768,1.367164,1.272361,1.275760,1.271370,1.299161,1.264855,1.274193,1.285183,1.354152,1.356739,1.306648,1.303678,1.276075,1.267512,1.273341,1.325279,1.284208,1.313771,1.275284,1.269785
5,static,32,1024,768,1.304619,1.315608,1.324821,1.353460,1.298236,1.301292,1.305363,1.329508,1.321199,1.297183,1.335881,1.321772,1.322374,1.796415,1.331041,1.309411,1.305200,1.394220,1.319591,1.295607
6,static,64,1024,768,1.499962,1.549504,1.477511,1.490166,1.797359,1.667233,1.512230,1.597852,1.454242,1.666616,1.505117,1.486624,1.528844,1.526740,1.486443,1.497036,1.470408,1.502754,1.467773,1.474058
7,static,128,1024,768,1.941652,1.915887,1.959801,1.960958,1.903737,1.953623,1.913045,1.917403,1.965845,1.961314,1.935187,1.917414,1.917074,1.941718,1.941609,1.952978,1.908081,1.930633,1.929084,1.912141
8,static,256,1024,768,2.891642,2.879667,2.916345,2.899696,2.940834,2.887714,2.859675,2.894706,2.880726,2.879536,2.897761,2.900440,2.973856,2.876549,2.878074,2.909942,2.890055,2.877654,2.883344,2.894791
