,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,2.956815,2.929735,2.896363,2.926117,2.958557,2.928465,2.928156,2.918018,2.921946,2.922997,2.924864,2.936238,2.952003,2.964795,3.013964,3.004023,3.032698,2.997158,2.964441,2.999310
1,dynamic,2,1024,768,2.934535,2.961361,2.925724,2.960833,2.955057,2.949461,2.959282,2.975845,2.958724,2.953682,2.941967,2.983361,2.945998,2.978844,2.993767,2.986410,2.960384,2.931346,2.978169,2.938807
2,dynamic,4,1024,768,2.949154,2.935345,2.958783,2.990956,2.939662,2.958361,3.007572,2.932373,2.943211,2.942536,2.973620,2.960121,2.932607,2.951177,2.944380,2.973305,2.970439,2.926902,2.987805,2.946035
3,dynamic,8,1024,768,2.970127,2.938726,2.935228,2.949008,2.923021,2.935380,2.947205,2.960782,2.958779,2.947133,2.951403,2.930615,2.953408,2.950705,2.973019,2.948953,2.952886,2.925935,2.977048,2.929820
4,dynamic,16,1024,768,2.965512,2.976012,2.945195,2.929623,2.920331,2.919629,2.940207,2.960833,2.942051,2.950370,2.962933,2.963010,2.959511,2.946235,2.943243,2.953366,2.961685,3.052947,2.924434,2.937299
5,dynamic,32,1024,768,2.973818,2.967456,2.976500,2.929770,2.961822,2.971550,2.936094,2.955800,2.932982,2.948131,3.006561,2.933679,3.006243,2.941537,2.950937,2.959336,2.932411,2.984347,2.937791,2.939109
6,dynamic,64,1024,768,2.978153,2.941014,2.940929,2.960299,2.935834,2.941271,2.938921,2.935385,2.997895,2.926961,2.930660,2.938919,2.910251,2.939677,2.944877,2.956144,2.979060,2.937591,2.982867,2.964556
7,dynamic,128,1024,768,2.945311,2.948100,2.936129,2.965269,2.966025,2.982582,2.946987,2.950286,2.953101,2.921339,2.943564,2.978731,2.962671,2.946224,2.931529,2.966518,2.932914,2.933583,2.949466,3.015092
8,dynamic,256,1024,768,2.937443,2.952603,2.920058,2.946755,2.925885,2.942751,2.953715,2.976589,2.960449,2.938034,2.943400,2.950251,2.950772,2.959574,2.950938,2.945418,2.943754,2.938055,2.960015,2.997761
