,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,2.950217,2.882238,2.918877,2.921851,2.891833,2.903752,2.895865,2.914458,2.931346,2.959169,2.956141,2.899948,2.917514,2.914013,2.906623,2.911250,2.905090,2.925500,2.942856,2.928397
1,static,2,1024,768,2.942860,2.954121,2.994561,2.977493,2.917254,2.938186,2.972930,2.954169,2.939542,2.953671,2.958922,2.933499,2.906095,2.927794,2.959720,2.947220,2.936595,2.931740,2.946085,2.936738
2,static,4,1024,768,2.946645,2.944987,2.966496,2.968834,2.902883,2.936062,2.923206,2.963361,2.932518,2.968866,2.953485,2.974466,2.963137,2.911715,2.889482,2.942902,2.939238,2.966067,2.932757,2.920313
3,static,8,1024,768,2.972536,2.948091,2.949238,2.933888,2.957990,2.964452,2.955577,2.943510,2.931644,2.934205,2.956965,2.928995,2.985262,3.122347,2.938403,2.965910,2.957169,2.957124,3.008091,2.943048
4,static,16,1024,768,3.153411,3.036306,3.055808,3.054373,3.043731,3.055562,3.051326,3.036662,3.065186,3.067474,3.040038,3.034625,3.127196,3.058976,3.061885,3.066896,3.034580,3.055428,3.060074,3.062826
5,static,32,1024,768,3.182016,3.146979,3.314403,3.156674,3.154169,3.159613,3.179698,3.197884,3.173941,3.167110,3.190521,3.191772,3.153368,3.171589,3.175539,3.152333,3.167735,3.181758,3.165189,3.179233
6,static,64,1024,768,3.750587,3.727606,3.728105,3.758631,3.772809,3.730366,3.737832,3.721268,3.713429,3.741950,3.795106,3.694734,3.744015,3.718187,3.725346,3.723185,3.742267,3.724013,3.726965,3.757238
7,static,128,1024,768,5.110468,5.144930,5.114001,5.089929,5.170613,5.125283,5.126194,5.068537,5.091149,5.082630,5.161039,5.094802,5.096893,5.099808,5.092533,5.116479,5.074225,5.144068,5.091549,5.149244
8,static,256,1024,768,8.041000,8.012937,8.067561,8.028217,8.002193,8.148221,8.049482,8.010576,8.090004,8.004459,7.981898,8.052597,8.016401,8.114329,8.075280,7.990646,7.998931,8.058144,8.105981,8.199813
