,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,1.388902,1.557511,1.564407,1.467084,1.339560,1.322559,1.310525,1.356240,1.356831,1.351998,1.361273,1.343626,1.359575,1.394805,1.350931,1.396323,1.341196,1.386012,1.324424,1.309839
1,dynamic,2,1024,768,1.285447,1.334071,1.296443,1.291428,1.337482,1.366976,1.295480,1.320264,1.309216,1.374044,1.302759,1.297230,1.326700,1.293844,1.358633,1.284966,1.325366,1.315994,1.300095,1.302517
2,dynamic,4,1024,768,1.299641,1.307811,1.278792,1.311731,1.283836,1.293821,1.268391,1.358766,1.305048,1.286054,1.286659,1.383202,1.293101,1.279140,1.298921,1.305218,1.281910,1.277879,1.323453,1.301767
3,dynamic,8,1024,768,1.274140,1.283967,1.318860,1.272234,1.280863,1.311211,1.507888,1.327546,1.426468,1.353887,1.273003,1.268599,1.276728,1.312666,1.293285,1.269830,1.286512,1.320532,1.264495,1.268580
4,dynamic,16,1024,768,1.334168,1.364771,1.277967,1.281140,1.288678,1.380067,1.294009,1.279394,1.302733,1.268905,1.265383,1.272926,1.313374,1.269681,1.265744,1.333151,1.313051,1.277746,1.319429,1.301280
5,dynamic,32,1024,768,1.336240,1.267412,1.343891,1.319540,1.265584,1.281186,1.258066,1.294247,1.263009,1.261465,1.263437,1.302319,1.271274,1.263142,1.267784,1.301197,1.269388,1.273485,1.340290,1.329649
6,dynamic,64,1024,768,1.334582,1.284949,1.302215,1.408464,1.380088,1.486492,1.335363,1.385934,1.369444,1.379312,1.306548,1.341902,1.315027,1.362434,1.319673,1.298485,1.462899,1.341542,1.296938,1.322075
7,dynamic,128,1024,768,1.336129,1.310636,1.344685,1.349278,1.420991,1.370933,1.397543,1.372987,1.325403,1.287668,1.341010,1.394614,1.322015,1.312456,1.301781,1.350625,1.372152,1.317304,1.439295,1.377845
8,dynamic,256,1024,768,1.344739,1.386265,1.438993,1.375825,1.274800,1.323634,1.363143,1.305881,1.446606,2.028164,1.412268,1.311175,1.404042,1.295787,1.312823,1.389664,1.309854,1.262876,1.310701,1.308508
