,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,1.866510,1.787205,1.783475,1.750667,1.809016,1.871926,1.783796,1.784210,1.828550,1.782817,1.775936,1.775916,1.837145,1.797827,1.794572,1.785025,1.738746,1.753342,1.761772,1.750556
1,dynamic,2,1024,768,1.784240,1.793596,1.723368,1.742107,1.752565,1.767765,1.797628,1.762851,1.766845,1.831911,1.732399,1.741404,1.774477,1.777786,1.856378,1.738940,1.738977,1.767928,1.737097,1.796077
2,dynamic,4,1024,768,1.903111,1.774365,1.731395,1.772635,1.714846,1.734078,1.778925,1.755931,1.774824,1.725967,1.711005,1.759520,1.698090,1.718896,1.749947,1.724551,1.710643,1.778493,1.838880,1.785691
3,dynamic,8,1024,768,1.850367,1.868999,1.726398,1.741735,1.704513,1.728409,1.802371,1.740959,1.812546,1.722652,1.729181,1.796041,1.750241,1.753950,1.818020,1.714520,1.739165,1.778823,1.803724,1.712785
4,dynamic,16,1024,768,1.741883,1.849130,1.824926,1.816281,1.775760,1.803370,1.727670,1.736245,1.714478,1.700597,1.713277,1.742646,1.712509,1.715865,1.753018,1.727409,1.726814,1.739669,1.787728,1.753336
5,dynamic,32,1024,768,1.705649,1.720700,1.796836,1.734534,1.706038,1.729014,1.788824,1.751243,1.750639,1.740216,1.883634,1.808751,1.759195,1.761437,1.835667,1.855354,1.834711,1.762156,1.781147,1.769043
6,dynamic,64,1024,768,1.851631,1.841248,1.885334,1.828712,1.807553,1.735500,1.753130,1.771684,1.845712,1.817770,1.819630,1.803944,1.812945,1.796519,1.787570,1.907005,1.754918,1.787112,1.767407,1.777463
7,dynamic,128,1024,768,1.872717,1.778136,1.800474,1.790584,1.718524,1.752617,1.776277,1.850753,1.770927,1.724000,1.772049,1.768024,1.797437,1.774062,1.786745,1.769633,1.795192,1.759183,1.739783,1.806641
8,dynamic,256,1024,768,1.863679,1.804023,1.835395,1.796868,1.833414,1.791682,1.812968,1.887727,1.767206,1.733864,1.820363,1.808607,1.811816,1.749152,1.790250,1.930524,1.766194,1.745343,1.825378,1.747140
