,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,static,1,1024,768,1.875675,1.733440,1.768666,1.726510,1.737968,1.854751,1.755261,1.735875,1.753448,1.702479,1.718146,1.725718,1.768635,1.768281,1.782785,1.785599,1.826061,1.734200,1.769649,1.758339
1,static,2,1024,768,1.981022,1.762704,1.722532,1.678972,1.699944,1.698333,1.708292,1.717032,1.681658,1.767053,1.790262,1.838695,1.809594,1.809373,1.802941,1.727764,1.879832,1.719658,1.736517,1.709789
2,static,4,1024,768,1.789422,1.755034,1.724738,1.777790,1.731089,1.750226,1.725195,1.705482,1.694228,1.687057,1.697416,1.674025,1.704479,1.719562,1.681586,1.679971,1.703423,1.717933,1.709361,1.713981
3,static,8,1024,768,1.795244,1.815672,1.809238,1.848911,1.752580,1.791999,1.832154,1.776152,1.755473,1.786569,1.786097,1.799140,1.792181,1.958136,1.841257,1.836331,1.862897,1.762259,1.771858,1.749496
4,static,16,1024,768,1.878987,2.016059,2.008374,1.980114,1.959757,2.171683,2.082820,1.911663,1.930989,1.877656,1.881442,1.888166,1.864933,1.899339,1.885721,1.867738,1.897231,2.113554,1.988523,2.062539
5,static,32,1024,768,2.463313,2.434585,2.376348,2.403606,2.450125,2.542531,2.321585,2.579594,2.825197,2.562614,2.423091,2.365324,2.339630,2.234769,2.184454,2.168120,2.138924,2.177666,2.138156,2.332371
6,static,64,1024,768,3.613745,3.194585,3.186472,3.143334,3.096542,3.132713,3.203478,3.183749,3.051334,3.080466,3.051129,3.045339,2.975107,3.119059,3.177172,3.034221,3.131680,3.288671,3.075958,3.210496
7,static,128,1024,768,5.286203,5.421463,5.367809,5.237771,5.300610,5.351358,5.232687,5.405487,5.362691,5.293484,5.251585,5.265329,5.243612,5.172650,5.258735,5.355757,5.335064,5.441054,5.353480,5.329171
8,static,256,1024,768,4.266961,4.277462,4.248743,4.190947,4.229867,4.279472,4.456888,4.261881,4.296578,4.278832,4.378641,4.268011,4.304797,4.331247,4.283624,4.268555,4.236209,4.211616,4.229200,4.179057
