,type,size,x_size,y_size,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0,dynamic,1,1024,768,5.782652,5.757085,5.755324,5.627258,5.654342,5.841658,6.000480,5.765687,5.762349,5.814104,5.856013,5.755773,5.810542,5.779227,5.750718,5.679064,5.724498,5.780256,5.728894,5.748898
1,dynamic,2,1024,768,5.590139,5.618722,5.561829,5.583256,5.568885,5.620722,5.576409,5.680152,5.586158,5.628317,5.620259,5.553427,5.569200,5.596272,5.592046,5.572079,5.553602,5.637740,5.604462,5.565691
2,dynamic,4,1024,768,5.611442,5.645463,5.580903,5.569766,5.571447,5.586700,5.587373,5.549357,5.577575,5.590913,5.593677,5.594147,5.564244,5.626448,5.601990,5.589406,5.563932,5.581461,5.619525,5.585281
3,dynamic,8,1024,768,5.630626,5.630347,5.688249,5.666002,5.643215,5.589399,5.610115,5.640810,5.643278,5.578219,5.600773,5.568235,5.552216,5.547392,5.610783,5.671661,5.587526,5.579596,5.557611,5.558975
4,dynamic,16,1024,768,5.591759,5.614628,5.586206,5.623873,5.556565,5.573970,5.627391,5.586462,5.574894,5.598083,5.652745,5.855339,5.598844,5.543242,5.588757,5.575168,5.605552,5.621103,5.569849,5.622372
5,dynamic,32,1024,768,5.590094,5.550953,5.581804,5.627649,5.595509,5.561151,5.540011,5.587403,5.656882,5.616687,5.564393,5.561035,5.576563,5.540438,5.569726,5.569774,5.638661,5.574759,5.563814,5.566650
6,dynamic,64,1024,768,5.687874,5.547149,5.620919,5.593815,5.618536,5.593321,5.546252,5.541914,5.612706,5.571030,5.591794,5.595538,5.604223,5.571644,5.545171,5.581779,5.619750,5.574997,5.560769,5.564775
7,dynamic,128,1024,768,5.601162,5.559227,5.647220,5.578208,5.572573,5.621407,5.578146,5.551413,5.570421,5.631236,5.570065,5.598649,5.615504,5.634053,5.606366,5.559909,5.566189,5.615259,5.540259,5.529798
8,dynamic,256,1024,768,5.582465,5.624681,5.568210,5.567114,5.562678,5.724243,5.558305,5.581466,5.632566,5.636405,5.576580,5.562120,5.577558,5.568675,5.569611,5.640708,5.666272,5.562097,5.648335,5.531857
